go-sqlparser,SQL99,Oracle,PostgreSQL,MySQL,SQLite
TEXT,CHAR(n),CHAR(n),CHAR(n),CHAR(n),CHAR(n)
TEXT,VARCHAR(n),VARCHAR2(n),VARCHAR(n),VARCHAR(n),VARCHAR(n)
TEXT,TEXT,STRING,TEXT,TEXT,TEXT
SMALLINT,SMALLINT,NUMBER(n),SMALLINT,SMALLINT,INTEGER
INT,INTEGER,NUMBER(n),INTEGER,INT,INTEGER
BIGINT,BIGINT,NUMBER(n),BIGINT,BIGINT,INTEGER
FLOAT,REAL,BINARY_FLOAT,REAL,FLOAT,REAL
DOUBLE,DOUBLE PRECISION,BINARY_DOUBLE,DOUBLE PRECISION,DOUBLE,REAL
DATE,DATE,DATE,DATE,DATE,DATE
DATETIME,-,DATETIME,DATETIME,DATETIME,-
TIMESTAMP,TIMESTAMP,TIMESTAMP(6),TIMESTAMP,TIMESTAMP,TIMESTAMP
BOOLEAN,BOOLEAN,NUMBER(1),-,TINYINT,NUMERIC(1)
BLOB,BLOB,LONG RAW,BYTEA,LONGBLOB,BLOB